X(mm),Y(mm),Z(mm)
-7.198784803673029842e+01,-3.502371379476052482e+01,1.559301028297743414e+02
-7.195817787705114199e+01,-3.501251574955532675e+01,1.559307403655140263e+02
-7.192834825786843567e+01,-3.500937409454947158e+01,1.559311637116573195e+02
-7.189843859394241576e+01,-3.501009668329290037e+01,1.559314843623341176e+02
-7.186851804598539672e+01,-3.501169466375579020e+01,1.559317816663441079e+02
-7.183871689869825161e+01,-3.500695231181893519e+01,1.559322476055931475e+02
-7.180886227118469378e+01,-3.500504404038747452e+01,1.559326381674085837e+02
-7.177901169110982948e+01,-3.500279391573278787e+01,1.559330378487446183e+02
-7.174916271548350721e+01,-3.500040057433101026e+01,1.559334413516696429e+02
-7.171929629664464301e+01,-3.499903969859074948e+01,1.559338173711365414e+02
-7.168930465119184703e+01,-3.500410933663452084e+01,1.559340224037146925e+02
-7.165921951760374498e+01,-3.501378244928321237e+01,1.559341050739067498e+02
-7.162911654155763586e+01,-3.502453193351165339e+01,1.559341590880041792e+02
-7.159905312733738469e+01,-3.503318181811312826e+01,1.559342689453687854e+02
-7.156908510176033644e+01,-3.503705734511476777e+01,1.559345057251111086e+02
-7.153916318848777678e+01,-3.503829047653919559e+01,1.559348128267239417e+02
-7.150956514393584484e+01,-3.502286288239031364e+01,1.559355629423884864e+02
-7.147972839375458420e+01,-3.501975119733680941e+01,1.559359855660659093e+02
-7.144968968966499290e+01,-3.502709843468213080e+01,1.559361300681985654e+02
-7.142009807111931252e+01,-3.501146738152672100e+01,1.559368855658128155e+02
-7.139028003087658192e+01,-3.500716145251691103e+01,1.559373399960360018e+02
-7.136026173268358264e+01,-3.501356631352784632e+01,1.559375095325328004e+02
-7.133027657040085501e+01,-3.501800782024591996e+01,1.559377313324328327e+02
-7.130077880212319030e+01,-3.499726250018670726e+01,1.559386228833280370e+02
-7.127091176832199437e+01,-3.499540265668194650e+01,1.559390122877665306e+02
-7.124095103016689734e+01,-3.499856450108159578e+01,1.559392681194296983e+02
-7.121135492563377056e+01,-3.498278979514761744e+01,1.559400275195617382e+02
-7.118152977035555296e+01,-3.497896876940722422e+01,1.559404690297784271e+02
-7.115156764988122973e+01,-3.498220915218757909e+01,1.559407227714392832e+02
-7.112155002742761667e+01,-3.498810365396824551e+01,1.559409059836546021e+02
-7.109136018543523505e+01,-3.500321240831601699e+01,1.559408441075250948e+02
-7.106121486893826500e+01,-3.501580105364010365e+01,1.559408492926425822e+02
-7.103121792558100367e+01,-3.502074391143099774e+01,1.559410577845941930e+02
-7.100121731132411185e+01,-3.502598244545893635e+01,1.559412583908101055e+02
-7.097143963041366987e+01,-3.501932494843507016e+01,1.559417754108371525e+02
-7.094165536145824547e+01,-3.501319406163721482e+01,1.559422783866484679e+02
-7.091177521478601875e+01,-3.501190245989140237e+01,1.559426527048518381e+02
-7.088209627313170813e+01,-3.500010522252259904e+01,1.559433064055563989e+02
-7.085224578219228420e+01,-3.499748303499014668e+01,1.559437160613730669e+02
-7.082234182290719104e+01,-3.499735329708099130e+01,1.559440594991932016e+02
-7.079246082479275515e+01,-3.499608012196755880e+01,1.559444333330339134e+02
-7.076250533362950534e+01,-3.499865766540020218e+01,1.559447047709228684e+02
-7.073249628151525314e+01,-3.500412498831560981e+01,1.559448993389332543e+02
-7.070276769098055070e+01,-3.499480616429316626e+01,1.559454871545511878e+02
-7.067293774525275296e+01,-3.499079332464545899e+01,1.559459338620100368e+02
-7.064304802862284305e+01,-3.498979963494101497e+01,1.559463003015955564e+02
-7.061305034249100743e+01,-3.499467102206940439e+01,1.559465107182135171e+02
-7.058301784341198015e+01,-3.500127030604068068e+01,1.559466752034167030e+02
-7.055317553925094387e+01,-3.499785112711975188e+01,1.559471061345477949e+02
-7.052331248135077146e+01,-3.499537211148910387e+01,1.559475120946038373e+02
-7.049351040705720095e+01,-3.498973990137066892e+01,1.559480019026568129e+02
-7.046364382057079467e+01,-3.498752649904217549e+01,1.559484007813859989e+02
-7.043368713408702320e+01,-3.499009254320633033e+01,1.559486725411742611e+02
-7.040382315917936751e+01,-3.498763889245825709e+01,1.559490778315893920e+02
-7.037398415436747712e+01,-3.498386619226076988e+01,1.559495182035815901e+02
-7.034380843324073851e+01,-3.499807256110421605e+01,1.559494803610601252e+02
-7.031373041110809652e+01,-3.500684804031819652e+01,1.559495870171365652e+02
-7.028375024096988000e+01,-3.501055761148678158e+01,1.559498283844364721e+02
-7.025386430403446525e+01,-3.500911118218185436e+01,1.559502069195957290e+02
