X(mm),Y(mm),Z(mm)
-7.386957701247548869e+01,-3.505505278564660898e+01,1.559078703925940772e+02
-7.383958574401239616e+01,-3.506144258515380585e+01,1.559080400256255245e+02
-7.380944866904299317e+01,-3.507461744652998448e+01,1.559080293998287061e+02
-7.377964288491288869e+01,-3.507179506280721881e+01,1.559084439149241916e+02
-7.374998665620272220e+01,-3.506113452149983090e+01,1.559090668811067246e+02
-7.372064287417197193e+01,-3.503520617305873941e+01,1.559100956452200535e+02
-7.369073221979054722e+01,-3.503735359724315401e+01,1.559103781054490980e+02
-7.366036567565772941e+01,-3.506210355894077679e+01,1.559100597447167331e+02
-7.363038292025454723e+01,-3.506776599765061775e+01,1.559102487824658283e+02
-7.360039052782431668e+01,-3.507382105844718012e+01,1.559104274030589465e+02
-7.357067257745883637e+01,-3.506614188878945981e+01,1.559109711364306747e+02
-7.354106890665829610e+01,-3.505303542062582522e+01,1.559116590836234195e+02
-7.351111541494867652e+01,-3.505706974232636242e+01,1.559118914406450926e+02
-7.348114751713511339e+01,-3.506187543457598110e+01,1.559121032799842226e+02
-7.345121290169268491e+01,-3.506512917236087645e+01,1.559123563508924519e+02
-7.342133501901646753e+01,-3.506532981080201949e+01,1.559126906344405654e+02
-7.339161537498422661e+01,-3.505770130772894788e+01,1.559132330286288948e+02
-7.336178509901783684e+01,-3.505555779734728361e+01,1.559136296206717418e+02
-7.333192590276539136e+01,-3.505497087046509819e+01,1.559139848074452459e+02
-7.330215721395713047e+01,-3.504973491751676562e+01,1.559144636117849245e+02
-7.327215290530328673e+01,-3.505627742936265889e+01,1.559146292986439448e+02
-7.324209957839690333e+01,-3.506525186319247922e+01,1.559147303397415669e+02
-7.321237302738464336e+01,-3.505772488846346135e+01,1.559152700903429150e+02
-7.318261381204021632e+01,-3.505205239752311286e+01,1.559157604911410431e+02
-7.315275180705567948e+01,-3.505125530325726402e+01,1.559161213447085856e+02
-7.312290927824786024e+01,-3.504962907458928356e+01,1.559165042070448521e+02
-7.309302180968782636e+01,-3.505010683639354596e+01,1.559168311695279101e+02
-7.306307650288108846e+01,-3.505372325670106193e+01,1.559170746379852233e+02
-7.303325455198576321e+01,-3.505078752314217638e+01,1.559174923759283615e+02
-7.300331438889789126e+01,-3.505397439140891436e+01,1.559177473027637575e+02
-7.297330041502976883e+01,-3.506084500738317900e+01,1.559179043025983731e+02
-7.294327501566201022e+01,-3.506825607356160646e+01,1.559180469421432633e+02
-7.291343295766758104e+01,-3.506652131944227335e+01,1.559184327088369173e+02
-7.288348483022681989e+01,-3.506994612450229454e+01,1.559186813468164132e+02
-7.285369734146932785e+01,-3.506529439298172690e+01,1.559191447011379523e+02
-7.282391048118314814e+01,-3.506057796689308503e+01,1.559196097828609879e+02
-7.279410478753239033e+01,-3.505698858051668765e+01,1.559200448612753860e+02
-7.276415891965709193e+01,-3.506019168964213151e+01,1.559202994175261949e+02
-7.273424986527000158e+01,-3.506154251769915930e+01,1.559206032173532606e+02
-7.270435798122134941e+01,-3.506224665312273459e+01,1.559209241606594674e+02
-7.267447455830337333e+01,-3.506226023406664893e+01,1.559212635224480721e+02
-7.264464987538698892e+01,-3.505939604099428664e+01,1.559216793733555448e+02
-7.261504093761415390e+01,-3.504547569430933152e+01,1.559223892015762090e+02
